Experiment,Algorithm,RT,BILL
lqn01-8f.lqn,GCR,20584.0,5018380.0
lqn01-8f.lqn,NC,6375.77,67670800.0
lqn01-8f.lqn,WL,5768.2,28149000.0
lqn02-13f.lqn,GCR,24582.9,4511860.0
lqn02-13f.lqn,NC,7131.82,48912400.0
lqn02-13f.lqn,WL,6936.07,31683000.0
lqn03-7f.lqn,GCR,24369.9,4017800.0
lqn03-7f.lqn,NC,6138.72,38248100.0
lqn03-7f.lqn,WL,6191.21,25624700.0
lqn04-7f.lqn,GCR,15712.1,4719700.0
lqn04-7f.lqn,NC,3608.14,28496700.0
lqn04-7f.lqn,WL,3674.78,30624700.0
lqn05-4f.lqn,GCR,13015.6,3622260.0
lqn05-4f.lqn,NC,3132.27,20700500.0
lqn05-4f.lqn,WL,3476.83,18850700.0
lqn06-14f.lqn,GCR,20945.6,5252630.0
lqn06-14f.lqn,NC,6079.11,64918000.0
lqn06-14f.lqn,WL,5780.5,43400000.0
lqn07-8f.lqn,GCR,28212.9,4168400.0
lqn07-8f.lqn,NC,6945.52,45272400.0
lqn07-8f.lqn,WL,7016.51,39781000.0
lqn08-16f.lqn,GCR,21662.9,7970110.0
lqn08-16f.lqn,NC,6495.99,74773300.0
lqn08-16f.lqn,WL,6224.21,52188400.0
lqn09-17f.lqn,GCR,25925.0,7041720.0
lqn09-17f.lqn,NC,8352.71,75773400.0
lqn09-17f.lqn,WL,6709.93,54274500.0
lqn10-14f.lqn,GCR,30388.0,5925110.0
lqn10-14f.lqn,NC,10386.5,77841600.0
lqn10-14f.lqn,WL,9398.82,42605700.0
lqn11-19f.lqn,GCR,19166.9,6928430.0
lqn11-19f.lqn,NC,7124.95,77961000.0
lqn11-19f.lqn,WL,6825.82,46798000.0
lqn12-11f.lqn,GCR,22184.4,6168130.0
lqn12-11f.lqn,NC,6384.19,80767400.0
lqn12-11f.lqn,WL,6550.8,39599300.0
lqn13-6f.lqn,GCR,22521.0,4139240.0
lqn13-6f.lqn,NC,6686.17,51460600.0
lqn13-6f.lqn,WL,6032.04,26573500.0
lqn14-9f.lqn,GCR,28706.2,5205370.0
lqn14-9f.lqn,NC,8625.28,46520000.0
lqn14-9f.lqn,WL,8759.59,30501700.0
lqn15-9f.lqn,GCR,22936.4,6666820.0
lqn15-9f.lqn,NC,7614.02,42765000.0
lqn15-9f.lqn,WL,7205.27,37416500.0
lqn16-7f.lqn,GCR,19822.1,4066390.0
lqn16-7f.lqn,NC,5232.49,34727600.0
lqn16-7f.lqn,WL,5040.62,27322200.0
lqn17-15f.lqn,GCR,28461.9,5342570.0
lqn17-15f.lqn,NC,8482.38,70280100.0
lqn17-15f.lqn,WL,8225.21,58777400.0
lqn18-6f.lqn,GCR,23903.1,5050850.0
lqn18-6f.lqn,NC,6671.61,54631900.0
lqn18-6f.lqn,WL,6737.07,29228600.0
lqn19-6f.lqn,GCR,19106.2,5294710.0
lqn19-6f.lqn,NC,5689.03,50482400.0
lqn19-6f.lqn,WL,5647.81,25569800.0
lqn20-16f.lqn,GCR,23531.5,6327460.0
lqn20-16f.lqn,NC,8746.49,56787600.0
lqn20-16f.lqn,WL,7056.55,60253200.0
