Experiment,Algorithm,RT,BILL
lqn01-7f.lqn,GCR,10534.3,5346140.0
lqn01-7f.lqn,NC,3181.47,43311000.0
lqn01-7f.lqn,WL,3051.08,32442000.0
lqn02-8f.lqn,GCR,19710.6,4920930.0
lqn02-8f.lqn,NC,4834.29,53525600.0
lqn02-8f.lqn,WL,5101.4,55292000.0
lqn03-6f.lqn,GCR,18057.1,5551400.0
lqn03-6f.lqn,NC,5218.76,53872900.0
lqn03-6f.lqn,WL,5036.24,43225700.0
lqn04-16f.lqn,GCR,7738.62,9239500.0
lqn04-16f.lqn,NC,3070.57,67197300.0
lqn04-16f.lqn,WL,2280.02,80452200.0
lqn05-7f.lqn,GCR,14885.1,4417710.0
lqn05-7f.lqn,NC,3963.16,40494700.0
lqn05-7f.lqn,WL,3802.57,23978100.0
lqn06-6f.lqn,GCR,13964.1,5251550.0
lqn06-6f.lqn,NC,3327.12,34684000.0
lqn06-6f.lqn,WL,3409.29,31465800.0
lqn07-15f.lqn,GCR,18815.1,6346060.0
lqn07-15f.lqn,NC,6166.3,56591100.0
lqn07-15f.lqn,WL,5314.38,54458700.0
lqn08-5f.lqn,GCR,11952.7,4200980.0
lqn08-5f.lqn,NC,2981.67,28017900.0
lqn08-5f.lqn,WL,3131.38,18867100.0
lqn09-5f.lqn,GCR,14631.9,5719830.0
lqn09-5f.lqn,NC,4424.7,48425000.0
lqn09-5f.lqn,WL,4490.66,32106000.0
lqn10-14f.lqn,GCR,8733.53,9764040.0
lqn10-14f.lqn,NC,3812.81,79454700.0
lqn10-14f.lqn,WL,3285.8,47604500.0
lqn11-12f.lqn,GCR,9983.41,8248370.0
lqn11-12f.lqn,NC,3417.28,69610600.0
lqn11-12f.lqn,WL,3052.59,56740900.0
lqn12-11f.lqn,GCR,17236.8,5783520.0
lqn12-11f.lqn,NC,4678.05,51193100.0
lqn12-11f.lqn,WL,4934.34,43363300.0
lqn13-5f.lqn,GCR,11560.1,5333830.0
lqn13-5f.lqn,NC,2802.74,43723700.0
lqn13-5f.lqn,WL,2735.63,44223600.0
lqn14-6f.lqn,GCR,20515.2,4112480.0
lqn14-6f.lqn,NC,5510.74,44822800.0
lqn14-6f.lqn,WL,5168.63,29323700.0
lqn15-5f.lqn,GCR,17909.8,3382140.0
lqn15-5f.lqn,NC,4035.41,24673700.0
lqn15-5f.lqn,WL,4082.3,22259200.0
lqn16-6f.lqn,GCR,18626.7,5289520.0
lqn16-6f.lqn,NC,5892.31,45925700.0
lqn16-6f.lqn,WL,5811.81,26670700.0
lqn17-9f.lqn,GCR,15242.7,5720670.0
lqn17-9f.lqn,NC,4515.71,46911400.0
lqn17-9f.lqn,WL,4455.52,37608700.0
lqn18-19f.lqn,GCR,16501.6,9512050.0
lqn18-19f.lqn,NC,6702.72,125564000.0
lqn18-19f.lqn,WL,5385.46,66190800.0
lqn19-10f.lqn,GCR,13858.9,6763720.0
lqn19-10f.lqn,NC,4275.42,60923800.0
lqn19-10f.lqn,WL,3322.53,63483900.0
lqn20-14f.lqn,GCR,15975.7,6460810.0
lqn20-14f.lqn,NC,5126.98,45765900.0
lqn20-14f.lqn,WL,4735.87,49375900.0
